boot_id,seed_size,seeds,bifo_p10,bifo_enrich10,bifo_ndcg10,bifo_ap,bifo_mean_rank,rank_improvement,sf_p10,sf_ap,bifo_beats_sf_ap
1342,30,"C2240338,C1539530,C1825964,C0919427,C1825324,C1422673,C1425292,C1416484,C1416427,C1335609,C1825571,C1420185,C1334895,C1823374,C1426011,C1420073,C1423507,C1826750,C1421583,C1826596,C1426379,C1412637,C1420521,C1824953,C1826414,C1413450,C1824213,C1413336,C1415803,C1426796",0.2,45.510000000000005,0.17947710508581735,0.11562473503598866,1096.1,-105.74999999999989,0.4,0.26544528567599346,0
1343,30,"C1420588,C1336688,C1425219,C1537435,C1332001,C1415078,C1413843,C1824395,C1336659,C1417896,C1414094,C1419117,C1421143,C1418931,C1537630,C1425359,C1418426,C1415195,C1421996,C1835950,C1412335,C1425292,C1419926,C1425267,C1427994,C1414209,C2239931,C1442771,C1419868,C1417217",0.1,22.755000000000003,0.06943122193677727,0.02222432428330604,1548.3,-261.29999999999995,0.1,0.07440128305966065,0
1320,30,"C1427960,C1428459,C1332803,C1412335,C1413730,C1425067,C1425959,C1823643,C1413062,C1539367,C1413962,C1825010,C3808960,C1426160,C1335225,C1418438,C1415994,C1540111,C1332001,C1824636,C1417038,C1412107,C1418560,C1424612,C1412306,C1412749,C1416521,C1413463,C1413813,C1414995",0.0,0.0,0.0,0.02656207258903277,1310.45,-88.65000000000009,0.0,0.019330801641675437,1
1321,30,"C1413336,C1823272,C1417203,C1538624,C1414429,C1415327,C1415593,C1423504,C1539125,C1412058,C1428660,C1412114,C1417541,C1413607,C0376571,C1426562,C1422195,C0162832,C1824426,C1420205,C1412637,C1825980,C1420311,C1418948,C1366623,C1366515,C1417064,C1325331,C1334513,C1425067",0.0,0.0,0.0,0.005164761311185871,2541.5,-669.1500000000001,0.0,0.004858627666991179,1
1322,30,"C1420092,C1416930,C1425978,C4321218,C1423504,C2828882,C1333935,C1416427,C1425974,C1419745,C1428781,C1415458,C1417216,C1416498,C1424863,C1412179,C1826260,C1335232,C1824756,C1419864,C1538294,C1417169,C1418752,C1422045,C2239867,C1334082,C1419867,C1418304,C1414637,C0879290",0.0,0.0,0.0,0.004723161473832549,2416.05,-833.2000000000003,0.0,0.00453209158398742,1
1323,30,"C1425644,C1420113,C1413696,C1414946,C1420822,C1412591,C1425674,C1427991,C1425067,C1427728,C1420009,C1824953,C1423806,C1413062,C1424562,C1421269,C1413813,C1413076,C1413452,C1368803,C1414899,C1539586,C1413592,C1421921,C1539048,C1419157,C1825603,C1423740,C1413372,C1412375",0.0,0.0,0.0,0.004072117397619169,2684.5,-909.2,0.0,0.004288406388476026,0
1324,30,"C1419244,C1419330,C1423506,C1416383,C1412284,C1366515,C1412629,C1539880,C1422123,C1422009,C0919481,C1825743,C1413036,C1412582,C1427837,C1539765,C1421511,C1538396,C1413056,C1414040,C1414828,C1414899,C1822806,C1413581,C1418739,C1414104,C1858559,C1422577,C1334469,C1414575",0.0,0.0,0.0,0.00470468694645957,2818.75,-1056.05,0.0,0.004387712176647912,1
1325,30,"C1417194,C1413076,C1427704,C1427573,C1413504,C1417508,C1420718,C1539743,C1416430,C1332829,C1413280,C1825575,C1420191,C1419122,C1824213,C1415119,C1413014,C1422762,C1417169,C1419157,C1420131,C1425129,C1414103,C1426196,C1422514,C1418560,C1425962,C1428204,C1420344,C3146829",0.0,0.0,0.0,0.024584713718694074,1236.7,34.049999999999955,0.2,0.05487321647445722,0
1326,30,"C1418650,C1426741,C1538115,C1422833,C1416502,C1427704,C1334291,C1412081,C1422336,C1540215,C1415558,C1538690,C1419857,C1419981,C1412760,C1538793,C2676276,C1412136,C1424765,C2240186,C1425674,C1414344,C1421916,C1418609,C1414172,C1332803,C1414040,C1332829,C1414260,C1418466",0.0,0.0,0.0,0.0032975060757418568,3004.8,-1255.4,0.0,0.0038295086652703576,0
1327,30,"C1419122,C1857796,C1418307,C1538489,C1540114,C1539476,C1414260,C1825392,C1423504,C1442771,C1413413,C1417617,C1414084,C1332029,C1416947,C2239920,C1413076,C1417609,C1412364,C1538793,C1412625,C1419622,C1420616,C1414172,C3469918,C1412108,C1420472,C2676276,C1427487,C1417015",0.0,0.0,0.0,0.003818186235274271,2772.95,-1214.2999999999997,0.0,0.0041887086964946686,0
