rank	pathway_name	pathway_id	source	n_members	degree_norm	null_calibrated	null_z	empirical_q	member_mean_null_z	member_mean_q	in_reference	seed_members	seed_member_scores	influential_nodes_local	influential_nodes_global	neighbor_z_local	neighbor_z_global
1515	WP_NANOPARTICLEMEDIATED_ACTIVATION_OF_RECEPTOR_SIGNALING	MSIGDB:M39572	MSIGDB	28	8.663645e-09	True	-3.910	1.0000	-0.721	0.8885	False	FN1;EGFR;ITGB1;MAP2K1;PIK3CD	1.0000;0.7788;0.4490;0.3190;0.1943	FN1		local:n=28;max=2.63;p75=0.43;p50=-0.16;p25=-0.69	global:n=28;max=-0.04;p75=-0.04;p50=-0.04;p25=-0.04
1516	REACTOME_DEFECTIVE_FACTOR_IX_CAUSES_HEMOPHILIA_B	MSIGDB:M39001	MSIGDB	9	8.660446e-09	True	-2.505	1.0000	-0.295	0.8649	False	F8;F11;GP1BA;GGCX	0.8209;0.5195;0.2476;0.0000			local:n=9;max=1.91;p75=0.31;p50=-0.60;p25=-0.60	global:n=9;max=-0.04;p75=-0.04;p50=-0.04;p25=-0.04
1517	REACTOME_TFAP2_AP_2_FAMILY_REGULATES_TRANSCRIPTION_OF_GROWTH_FACTORS_AND_THEIR_RECEPTORS	MSIGDB:M27766	MSIGDB	15	8.635020e-09	True	-2.636	1.0000	-0.346	0.8649	False	EGFR	0.3533	KIT		local:n=15;max=3.22;p75=0.43;p50=-0.53;p25=-0.60	global:n=15;max=-0.04;p75=-0.04;p50=-0.04;p25=-0.04
1518	REACTOME_REGULATION_BY_C_FLIP	MSIGDB:M27249	MSIGDB	11	8.631769e-09	True	-2.275	1.0000	-0.322	0.8649	False	TNFRSF10B	1.0000			local:n=11;max=1.76;p75=0.86;p50=0.07;p25=-0.82	global:n=11;max=-0.04;p75=-0.04;p50=-0.04;p25=-0.04
1519	BIOCARTA_LYM_PATHWAY	MSIGDB:M1469	MSIGDB	13	8.617912e-09	True	-2.563	1.0000	-0.349	0.8649	False	ITGB1	0.9976			local:n=13;max=1.35;p75=1.28;p50=-0.23;p25=-0.23	global:n=13;max=-0.04;p75=-0.04;p50=-0.04;p25=-0.04
1520	BIOCARTA_RAC1_PATHWAY	MSIGDB:M8601	MSIGDB	21	8.576856e-09	True	-3.358	1.0000	-0.534	0.8649	False	TRIO;NCF2;PLD1	0.1300;0.0841;0.0000	PIK3CA		local:n=21;max=4.06;p75=-0.04;p50=-0.29;p25=-0.47	global:n=21;max=-0.03;p75=-0.04;p50=-0.04;p25=-0.04
1521	REACTOME_TP53_REGULATES_TRANSCRIPTION_OF_GENES_INVOLVED_IN_CYTOCHROME_C_RELEASE	MSIGDB:M27628	MSIGDB	20	8.511999e-09	True	-3.419	1.0000	-0.470	0.8786	False	ATM;TP63;CREBBP;STEAP3	1.0000;0.1074;0.0479;0.0000			local:n=20;max=1.86;p75=0.36;p50=0.01;p25=-1.04	global:n=20;max=-0.04;p75=-0.04;p50=-0.04;p25=-0.04
1522	REACTOME_TIE2_SIGNALING	MSIGDB:M11932	MSIGDB	18	8.503826e-09	True	-2.698	1.0000	-0.478	0.8649	False	PTPN11	0.1052	PIK3CA		local:n=18;max=3.97;p75=-0.15;p50=-0.25;p25=-0.39	global:n=18;max=-0.03;p75=-0.04;p50=-0.04;p25=-0.04
1523	BIOCARTA_CDMAC_PATHWAY	MSIGDB:M4388	MSIGDB	16	8.481211e-09	True	-2.749	1.0000	-0.611	0.8649	False	MAP2K1	0.0418	NFKB1		local:n=16;max=3.86;p75=-0.16;p50=-0.24;p25=-0.32	global:n=16;max=-0.02;p75=-0.04;p50=-0.04;p25=-0.04
1524	REACTOME_TIGHT_JUNCTION_INTERACTIONS	MSIGDB:M17967	MSIGDB	29	8.477059e-09	True	-3.778	1.0000	-0.271	0.8946	False	CLDN14;CLDN9;PALS1	0.0000;0.0000;0.0000	PRKCI		local:n=29;max=3.86;p75=0.80;p50=-0.53;p25=-0.53	global:n=29;max=-0.04;p75=-0.04;p50=-0.04;p25=-0.04
