rank	pathway_name	pathway_id	source	n_members	degree_norm	null_calibrated	null_z	empirical_q	member_mean_null_z	member_mean_q	in_reference	seed_members	seed_member_scores	influential_nodes_local	influential_nodes_global	neighbor_z_local	neighbor_z_global
713	WP_FLUOROPYRIMIDINE_ACTIVITY	MSIGDB:M39612	MSIGDB	33	6.093205e-07	True	0.512	0.8777	-0.145	1.0000	False	TP53;ERCC2;TYMS;SLC29A1;DPYS;UPB1	1.0000;0.9946;0.9941;0.9938;0.9933;0.9933	TP53;ERCC2;TYMS;SLC29A1;DPYS;UPB1	TP53;ERCC2;TYMS;SLC29A1;DPYS;UPB1	local:n=33;max=2.13;p75=-0.47;p50=-0.47;p25=-0.47	global:n=33;max=4.58;p75=-0.21;p50=-0.22;p25=-0.22
714	REACTOME_SIGNALING_BY_FGFR	MSIGDB:M1090	MSIGDB	87	6.089701e-07	True	-1.745	1.0000	-4.090	1.0000	False	MAPK1;FGF10;PTPN11;HRAS;BRAF;SOS1;NRAS;ESRP1;FGF16	1.0000;0.9993;0.9987;0.9976;0.9964;0.9960;0.9952;0.9949;0.9949	MAPK1;FGF10;PTPN11;HRAS;BRAF;SOS1;NRAS;ESRP1;FGF16	MAPK1;FGF10;PTPN11;HRAS;BRAF;SOS1;NRAS;ESRP1;FGF16	local:n=87;max=2.95;p75=-0.34;p50=-0.34;p25=-0.34	global:n=87;max=4.58;p75=-0.21;p50=-0.22;p25=-0.22
715	REACTOME_CLASS_B_2_SECRETIN_FAMILY_RECEPTORS	MSIGDB:M797	MSIGDB	92	6.087582e-07	True	-1.427	1.0000	-1.832	1.0000	False	SHH;ADGRE2;FZD2;WNT3;GHRHR;WNT7B	1.0000;0.9984;0.9980;0.9980;0.9976;0.9976	SHH;ADGRE2;FZD2;WNT3;GHRHR;WNT7B	SHH;ADGRE2;FZD2;WNT3;GHRHR;WNT7B	local:n=92;max=3.79;p75=-0.26;p50=-0.26;p25=-0.27	global:n=92;max=4.56;p75=-0.22;p50=-0.22;p25=-0.22
716	REACTOME_BIOSYNTHESIS_OF_MARESINS	MSIGDB:M27891	MSIGDB	8	6.085047e-07	True	3.288	0.0758	0.899	0.1847	False	CYP2C8	1.0000	CYP2C8	CYP2C8	local:n=8;max=2.65;p75=-0.38;p50=-0.38;p25=-0.38	global:n=8;max=4.56;p75=-0.21;p50=-0.21;p25=-0.22
717	REACTOME_ASSOCIATION_OF_TRIC_CCT_WITH_TARGET_PROTEINS_DURING_BIOSYNTHESIS	MSIGDB:M3871	MSIGDB	38	6.079003e-07	True	0.508	0.8985	-0.023	1.0000	False	TP53;USP11;FBXW2;ARFGEF2;FBXL3	1.0000;0.9933;0.9933;0.9933;0.9933	TP53;USP11;FBXW2;ARFGEF2;FBXL3	TP53;USP11;FBXW2;ARFGEF2;FBXL3	local:n=38;max=2.58;p75=-0.39;p50=-0.39;p25=-0.39	global:n=38;max=4.58;p75=-0.22;p50=-0.22;p25=-0.22
718	REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS_VIA_7ALPHA_HYDROXYCHOLESTEROL	MSIGDB:M1926	MSIGDB	23	6.071201e-07	True	1.607	0.3292	0.080	1.0000	False	NCOA2;ABCB11;CYP27A1	1.0000;0.9999;0.9996	NCOA2;ABCB11;CYP27A1	NCOA2;ABCB11;CYP27A1	local:n=23;max=2.58;p75=-0.39;p50=-0.39;p25=-0.39	global:n=23;max=4.56;p75=-0.22;p50=-0.22;p25=-0.22
719	WP_ERBB_SIGNALING_PATHWAY	MSIGDB:M39715	MSIGDB	90	6.066523e-07	True	-2.395	1.0000	-6.382	1.0000	False	TP53;MAPK1;AKT1;HRAS;BRAF;ERBB3;SOS1;MAP2K7;PIK3R2;ERBB4;NRG2;ARAF;CAMK2G;NRAS	1.0000;0.9984;0.9978;0.9961;0.9948;0.9945;0.9945;0.9941;0.9941;0.9939;0.9938;0.9938;0.9937;0.9937	TP53;MAPK1;AKT1;HRAS;BRAF;ERBB3;SOS1;MAP2K7;PIK3R2;ERBB4;NRG2;ARAF;CAMK2G;NRAS	TP53;MAPK1;AKT1;HRAS;BRAF;ERBB3;SOS1;MAP2K7;PIK3R2;ERBB4;NRG2;ARAF;CAMK2G;NRAS	local:n=90;max=2.34;p75=-0.42;p50=-0.43;p25=-0.43	global:n=90;max=4.58;p75=-0.20;p50=-0.21;p25=-0.22
720	REACTOME_ELASTIC_FIBRE_FORMATION	MSIGDB:M26969	MSIGDB	44	6.063480e-07	True	-0.267	1.0000	-0.640	1.0000	False	FN1;ITGB3;FBN1;ITGB6;FURIN;ITGA8;LTBP3;LOXL3	1.0000;0.9999;0.9994;0.9992;0.9992;0.9984;0.9984;0.9984	FN1;ITGB3;FBN1;ITGB6;FURIN;ITGA8;LTBP3;LOXL3	FN1;ITGB3;FBN1;ITGB6;FURIN;ITGA8;LTBP3;LOXL3	local:n=44;max=2.12;p75=-0.47;p50=-0.47;p25=-0.47	global:n=44;max=4.56;p75=-0.21;p50=-0.22;p25=-0.22
721	PID_A6B1_A6B4_INTEGRIN_PATHWAY	MSIGDB:M239	MSIGDB	45	6.062649e-07	True	-0.299	1.0000	-3.449	1.0000	False	AKT1;HRAS;COL17A1;LAMA3;ERBB3;LAMA2;LAMA4;LAMB3	1.0000;0.9983;0.9971;0.9969;0.9968;0.9965;0.9955;0.9955	AKT1;HRAS;COL17A1;LAMA3;ERBB3;LAMA2;LAMA4;LAMB3	AKT1;HRAS;COL17A1;LAMA3;ERBB3;LAMA2;LAMA4;LAMB3	local:n=45;max=2.16;p75=-0.46;p50=-0.47;p25=-0.47	global:n=45;max=4.57;p75=-0.21;p50=-0.21;p25=-0.22
722	HALLMARK_HEDGEHOG_SIGNALING	MSIGDB:M5919	MSIGDB	36	6.062363e-07	False	NaN	NaN	-0.500	1.0000	True	PLG;SHH;AMOT;TLE1;TLE3	1.0000;0.9992;0.9973;0.9971;0.9970	PLG;SHH;AMOT;TLE1;TLE3	PLG;SHH;AMOT;TLE1;TLE3	local:n=36;max=2.50;p75=-0.40;p50=-0.40;p25=-0.40	global:n=36;max=4.57;p75=-0.21;p50=-0.22;p25=-0.22
