boot_id,seed_size,seeds,bifo_p10,bifo_enrich10,bifo_ndcg10,bifo_ap,bifo_mean_rank,rank_improvement,sf_p10,sf_ap,bifo_beats_sf_ap
832,20,"C1414600,C1423536,C1414462,C1420122,C1826596,C1417852,C1425708,C1825098,C1420717,C1418402,C1824166,C1423539,C1420314,C1420344,C1538312,C1425049,C1823338,C1422429,C1822761,C1412610",0.0,0.0,0.0,0.003053088570455091,3167.4,-1115.7000000000003,0.0,0.0038951029875700914,0
833,20,"C1417104,C1418814,C1420015,C1412192,C1421517,C1417504,C1422540,C1419195,C1421773,C1422219,C1865042,C1414895,C1419181,C1415079,C1414170,C1420246,C1822806,C1333356,C1422060,C1427986",0.0,0.0,0.0,0.005153235592290483,2210.95,-224.29999999999973,0.0,0.0038451638146202683,1
834,20,"C1439335,C1417651,C1413595,C1826637,C1336639,C1414531,C1412166,C3469918,C1421327,C1414110,C1367701,C1413545,C1414525,C1425267,C1414635,C1824106,C1415760,C0694888,C1414137,C2829164",0.0,0.0,0.0,0.006954680375776813,2183.9,-423.75,0.0,0.006413715375567415,1
835,20,"C1417236,C1414090,C1417021,C1423020,C1413146,C1417782,C1333348,C1426179,C1414531,C1424874,C1413595,C1538695,C1418508,C1413381,C1422496,C1414103,C1424731,C1420838,C1422041,C1418529",0.0,0.0,0.0,0.010826404457847879,1909.2,-395.10000000000014,0.0,0.008070604087161443,1
836,20,"C1824571,C1826624,C1428964,C1415129,C1412741,C1412401,C1424656,C1413965,C1417671,C1413278,C1420715,C1416776,C1414105,C1824746,C1332080,C1538312,C0812281,C1418786,C1824636,C1420171",0.0,0.0,0.0,0.005087726120897277,2391.0,-810.9000000000001,0.0,0.009867955964375223,0
837,20,"C1823844,C1419293,C1421226,C1416731,C1419328,C1425652,C1333219,C1428485,C1416891,C1418270,C1420850,C1826407,C1425194,C2240169,C1418795,C1421327,C1420073,C1423692,C1538535,C1412062",0.0,0.0,0.0,0.006162385641738522,2005.95,-562.1500000000001,0.0,0.005679198726498745,1
838,20,"C1420220,C1539938,C1824746,C1428142,C1414868,C1413859,C1864771,C1417179,C1422626,C1824906,C1425837,C1424165,C0242988,C1823273,C1540114,C1414472,C1427701,C1846414,C1417943,C1333532",0.0,0.0,0.0,0.0040126921595347136,2585.3,-658.6000000000001,0.0,0.0038689766082496196,1
839,20,"C1335873,C0919550,C1417783,C1424781,C1416731,C1539102,C1332656,C1418767,C1413278,C1419867,C1424916,C1413741,C1333338,C1419745,C1423006,C1424230,C1420228,C1418237,C1412284,C1416986",0.0,0.0,0.0,0.005992557034522396,2189.4,-645.8000000000002,0.0,0.006262777015527519,0
1272,30,"C1417179,C1825958,C1335872,C1418426,C1420492,C1417549,C1537646,C1366544,C1428268,C1420695,C0812267,C1825626,C1364081,C1415171,C1337098,C1412109,C2239557,C1413365,C1415876,C1426958,C1417504,C1424727,C1427109,C1336688,C1420073,C1420092,C1858625,C1412208,C1418396,C1424615",0.0,0.0,0.0,0.004328777243961064,2467.85,-663.1499999999999,0.0,0.003933480633171439,1
1273,30,"C1421226,C1539663,C1418560,C1415760,C1425332,C1413859,C1427770,C1422813,C1826268,C1420414,C1423097,C1423927,C1420259,C1420220,C1417853,C1426077,C1414542,C1416776,C1414645,C1413570,C1420301,C1423951,C1367671,C1826523,C1413014,C3147174,C1420073,C1427586,C1418412,C1416502",0.0,0.0,0.0,0.0045378392031729265,2482.7,-857.1999999999998,0.0,0.004744846890271015,0
