concept_id,name,sab,direct,member_mean,member_max,degree_norm,local_bg,direct_raw,raw_vs_cond_delta,member_gene_count,degree,degree_flag,in_chd_set,contributing_seeds,empirical_p,empirical_q,null_mean,null_sd,null_z,null_calibrated,signal_to_null_mean,member_mean_p,member_mean_q,member_mean_null_mean,member_mean_null_sd,member_mean_null_z
C1517596,Ionophore activity,GO,6.398603042244537e-05,0.00012098864613491105,0.00047823486591946326,4.691683381560079e-06,-0.00011229965929744502,3.386121120334749e-05,3.0124819219097884e-05,186,186,False,False,C0079419|C1334290|C1366882|C1336679|C1334291,0.000999000999000999,0.014338602573896691,1.3414775999191895e-06,1.879581130172024e-07,17.824214809680868,True,3.497399719415893,0.001998001998001998,0.08437716130023822,0.00010147152310938345,6.330172557096362e-06,3.0831897313207
C1519624,Transmembrane Transport,GO,6.129474926542293e-05,0.00011666878632433529,0.00047823486591946326,4.367070064909975e-06,-0.00010875264406290376,3.516269119953365e-05,2.6132058065889275e-05,197,197,False,False,C0079419|C1334290|C1366882|C1336679|C1334291,0.000999000999000999,0.014338602573896691,1.3635110538080026e-06,1.8435150953189167e-07,16.292565321155536,True,3.2028123664371164,0.007992007992007992,0.19286208297197308,9.955886412187471e-05,6.663245499593721e-06,2.5678060644026743
MSIGDB:M39880,WP_CILIOPATHIES,MSIGDB,5.5127896272309085e-05,0.00018073985228692346,0.0004782068529967185,4.240607405562237e-06,-0.00020419798811448033,4.258671664638624e-05,1.2541179625922847e-05,169,169,False,True,C0079419|C1334290|C1366882|C1336679|C1334291,0.000999000999000999,0.014338602573896691,1.0679840618979719e-06,1.727525146046257e-07,18.36513552885391,True,3.9706654404804747,0.14785214785214784,1.0,0.00017792285263122475,3.8971180708110426e-06,0.7228417524215409
C1156249,Regulation of Cell Shape,GO,4.614565220990074e-05,0.00011594207600284144,0.00047818308919400654,3.6367868709313124e-06,-0.00011608155090819588,2.6984601170353578e-05,1.916105103954716e-05,161,161,False,False,C0079419|C1334290|C1366882|C1336679|C1334291,0.000999000999000999,0.014338602573896691,1.2485139607478954e-06,1.7828180577498233e-07,13.396055193639706,True,2.912892434741197,0.02197802197802198,0.3601771362965393,9.808868698930866e-05,9.10956283594974e-06,1.9598513490764486
C0012899,DNA Repair,GO,4.471737201198271e-05,0.00013628511475960895,0.00048005959776962034,3.557523103332876e-06,-0.0001435832220999976,2.5765571178990415e-05,1.8951800832992292e-05,158,158,False,False,C0079419|C1334290|C1366882|C1336679|C1334291,0.000999000999000999,0.014338602573896691,1.3021013025100327e-06,1.9204592120707343e-07,11.744179655817504,True,2.7321400389317754,0.000999000999000999,0.05773174194226825,0.00010469142074768659,1.061291039213821e-05,2.9769114073860656
MSIGDB:M27554,REACTOME_DISEASES_OF_METABOLISM,MSIGDB,5.065763493425302e-05,0.00012825146602069232,0.0004780774920476283,3.2563961073529872e-06,-0.00014964138010022977,3.918672331052098e-05,1.1470911623732039e-05,242,242,True,False,C0079419|C1334290|C1366882|C1336679|C1334291,0.000999000999000999,0.014338602573896691,1.1918977469013107e-06,1.5704205283941313e-07,13.146149856833414,True,2.732110297061093,0.000999000999000999,0.05773174194226825,0.0001055866963073343,6.7344271267581154e-06,3.365508199398782
C0005778,Blood coagulation,GO,1.809639501898253e-05,0.00015457128758878842,0.00047790745510248696,3.250208492980183e-06,-0.0001854899444965875,5.932624718926629e-06,1.2163770300055902e-05,31,31,False,False,C0079419|C1334290|C1366882|C1336679|C1334291,0.000999000999000999,0.014338602573896691,6.230830244589437e-07,1.9107096022041893e-07,13.749475406888594,True,5.21633292096589,0.013986013986013986,0.25809484633014046,0.00010833232947225652,2.425673025202007e-05,1.9062321110934222
C1160401,Skeletal Development,GO,2.064294559347882e-05,6.466520706831981e-05,0.000477462865545511,2.8626614928423575e-06,-8.314799674778649e-05,7.835651832325863e-06,1.2807293761152957e-05,52,52,False,False,C0079419|C1334290|C1366882|C1336679|C1334291,0.000999000999000999,0.014338602573896691,5.689165176224134e-07,1.6200518069808058e-07,14.158466817765909,True,5.031777781397251,0.6543456543456544,1.0,7.46915246988973e-05,1.4431703840578318e-05,-0.694742474023476
C0596997,Myogenesis,GO,1.7209814572032545e-05,0.00018094261001598685,0.00047770717289325485,2.829276087355131e-06,-0.0002096230246525042,7.5140833664298216e-06,9.695731205602724e-06,37,37,False,False,C0079419|C1334290|C1366882|C1336679|C1334291,0.000999000999000999,0.014338602573896691,7.289448513789921e-07,2.0178560524744948e-07,10.408726793967812,True,3.881330778319933,0.000999000999000999,0.05773174194226825,0.0001238758442909646,1.9149316237700674e-05,2.980094172379413
MSIGDB:M39570,WP_AMINO_ACID_METABOLISM,MSIGDB,2.5094661130896127e-05,0.000205274317916376,0.0004772940289186686,2.7060269023450634e-06,-0.00025716172831162287,1.4035649449513354e-05,1.1059011681382773e-05,86,86,False,False,C0079419|C1334290|C1366882|C1336679|C1334291,0.000999000999000999,0.014338602573896691,7.908302841747879e-07,1.7032196080188815e-07,11.244566520684655,True,3.421754270789891,0.000999000999000999,0.05773174194226825,0.00014255988877690074,1.5231821111089885e-05,4.117329679890644
C1148608,Heparin Binding,GO,1.5051456764632015e-05,4.679815983041773e-05,0.0004789762378124521,2.703321438154677e-06,-4.173322257211119e-05,4.295074010161312e-06,1.0756382754470703e-05,31,31,False,False,C0079419|C1334290|C1366882|C1336679|C1334291,0.000999000999000999,0.014338602573896691,4.0511607960465445e-07,1.5500736264263378e-07,14.826427076554335,True,6.6729551707569845,0.8601398601398601,1.0,7.87976682804811e-05,2.2366108380733505e-05,-1.430714181713803
C0302820,Carbohydrate Metabolism,GO,2.4003133533398698e-05,0.00013756152302395273,0.00047812544493409053,2.68363191268421e-06,-0.00016804815108139654,1.2007235004773984e-05,1.1995898528624713e-05,80,80,False,False,C0079419|C1334290|C1366882|C1336679|C1334291,0.000999000999000999,0.014338602573896691,9.355012142814131e-07,1.9485570568327048e-07,8.971411395282969,True,2.8686567924399644,0.14685314685314685,1.0,0.0001251001714372897,1.4447553235881854e-05,0.8625233202611845
MSIGDB:M117,PID_CONE_PATHWAY,MSIGDB,1.224490036296912e-05,0.00018177542268016616,0.0004778311698480694,2.672056323357059e-06,-0.0002509728054398446,4.537804115013336e-06,7.707096247955785e-06,21,21,False,False,C0079419|C1334290|C1366882|C1336679|C1334291,0.000999000999000999,0.014338602573896691,3.9812794767782557e-07,1.645245270005393e-07,13.821212053518193,True,6.711551748483001,0.07192807192807193,0.6779143603177938,0.00018172614630964157,3.291325800480119e-08,1.4971586987045604
